team_name,points_current,position_current,race_id
Red Bull Racing,44.0,1,9472
Ferrari,27.0,2,9472
Mercedes,16.0,3,9472
McLaren,12.0,4,9472
Aston Martin,3.0,5,9472
Kick Sauber,0.0,6,9472
Haas F1 Team,0.0,7,9472
RB,0.0,8,9472
Williams,0.0,9,9472
Alpine,0.0,10,9472
Red Bull Racing,87.0,1,9480
Ferrari,49.0,2,9480
McLaren,28.0,3,9480
Mercedes,26.0,4,9480
Aston Martin,13.0,5,9480
Haas F1 Team,1.0,6,9480
Williams,0.0,7,9480
Kick Sauber,0.0,8,9480
RB,0.0,9,9480
Alpine,0.0,10,9480
Red Bull Racing,97.0,1,9488
Ferrari,93.0,2,9488
McLaren,55.0,3,9488
Aston Martin,27.0,4,9488
Mercedes,26.0,5,9488
RB,4.0,6,9488
Haas F1 Team,4.0,7,9488
Williams,0.0,8,9488
Kick Sauber,0.0,9,9488
Alpine,0.0,10,9488
Red Bull Racing,141.0,1,9496
Ferrari,120.0,2,9496
McLaren,69.0,3,9496
Mercedes,34.0,4,9496
Aston Martin,33.0,5,9496
RB,7.0,6,9496
Haas F1 Team,4.0,7,9496
Williams,0.0,8,9496
Kick Sauber,0.0,9,9496
Alpine,0.0,10,9496
Red Bull Racing,155.0,1,9673
Ferrari,129.0,2,9673
McLaren,74.0,3,9673
Mercedes,42.0,4,9673
Aston Martin,33.0,5,9673
RB,7.0,6,9673
Haas F1 Team,4.0,7,9673
Williams,0.0,8,9673
Kick Sauber,0.0,9,9673
Alpine,0.0,10,9673
Red Bull Racing,188.0,1,9673
Ferrari,151.0,2,9673
McLaren,103.0,3,9673
Mercedes,52.0,4,9673
Aston Martin,40.0,5,9673
Haas F1 Team,5.0,7,9673
Alpine,0.0,9,9673
Kick Sauber,0.0,10,9673
